item_brandCode,estimate_spend
HEMPLER'S,5611.11
"BEN AND JERRYS",4625.8799999999965
"CRACKER BARREL",4080.3
KNORR,3525.7000000000003
"SPARKLING ICE",2191.84
"JIMMY DEAN",1233.8400000000001
CADBURY,1017.44
JOHNSONVILLE,967.0600000000001
HY-VEE,719.1899999999994
PEPSI,677.1499999999996
KLEENEX,638.2699999999999
BORDEN,600.4100000000001
DORITOS,512.6
SIGNATURE,485.18999999999994
ORBIT,483.75
NUTELLA,480.48
FOLGERS,409.4800000000001
"TIC TAC",406.89000000000004
KROGER,329.6700000000001
NABISCO,295.76
KLARBRUNN,237.67
CAMPBELL'S,228.60999999999999
"MOUNTAIN DEW",215.76
"KIT KAT",215.68000000000004
BRAND,200
DOLE,183.01
"JUST BARE",174.75000000000003
"SO DELICIOUS",172.36999999999998
TROLLI,167.52000000000004
"LAURA'S LEAN BEEF",149.75
"COLEMAN NATURAL",143.76
CHEETOS,132
SWANSON,122.75999999999998
CHEEZ-IT,120.10999999999999
"NATURE'S PATH ORGANIC",111.71999999999997
JELL-O,107.52000000000001
"HIDDEN VALLEY",106.54
"FRESH EXPRESS",102.96000000000001
V8,102.82
"PRIVATE SELECTION",100.83000000000001
"HILLSHIRE FARM",95.75999999999999
HORMEL,91.77
"HERITAGE FARM",87.5
KASHI,86.71
MARIE'S,84
TOSTITOS,80.66
MARTINELLI'S,79.68
"VAN DE KAMP'S",76.89
KELLOGG'S,74.64999999999999
KRAFT,74.32999999999998
CHEESE,73.5
"HELLMANN'S/BEST FOODS",68.48
"MARIE CALLENDER'S",67.9
"CONNIE'S PIZZA",65.89000000000001
YUBAN,65.89000000000001
COKE,64
"DIET COKE",64
NESTLE,63
LINDSAY,61.92
PLANTERS,59.96
"EL MONTEREY",59.88000000000002
SCHWEBEL'S,57.25
BIGELOW,57.150000000000006
RICE-A-RONI,57.11999999999998
"KRAZY GLUE",55.02
"GREEN GIANT",54.75000000000002
ADVIL,49.90000000000001
"ENERGIZER MAX",48.72
KERRYGOLD,48
WELCH'S,47.68
MISSION,46.27
WONDERFUL,45.940000000000005
PRINGLES,38.92000000000001
KIKKOMAN,37.9
"CREST 3D WHITE",37.86
VELVEETA,35.940000000000005
"BUSH'S BEST",34.980000000000004
JENNIE-O,32.97
"BEAR CREEK COUNTRY KITCHENS",31.84
"JACK LINK'S",29.950000000000003
"CAL-ORGANIC FARMS",29.88000000000001
REESE'S,26.97
LIPTON,25.869999999999994
LITEHOUSE,23.940000000000005
"HY-VEE SELECT",23.92
"PEPPERIDGE FARM",23.5
AZTECA,23.22
EDWARDS,22.98
BRASWELL'S,21.96
TEMPTATIONS,21.889999999999997
SHOPRITE,21.560000000000002
"DOLE CHILLED FRUIT JUICES",21.32
"JOHN SOULES FOODS",20.97
CLASSICO,20.940000000000005
"SPECIAL K",20.679999999999993
"COOL WHIP",20.64
"HARVEST SNAPS",18.75
"BOTA BOX",17.99
7UP,17.98
THOMAS',17.37
"KETTLE BRAND",16.08
LUNCHABLES,15.98
"R.W. KNUDSEN",15.78
"BETTY CROCKER",14.66
"SIMPLE TRUTH ORGANIC",14.47
"LIGHT & FIT GREEK",14.340000000000005
KRUSTEAZ,13.95
"FLORIDA'S NATURAL",13.84
STARKIST,13.8
"HATCH FARMS",13.089999999999996
"GENERAL MILLS",12.450000000000001
"CINNAMON TOAST CRUNCH",12.450000000000001
OREO,11.97
RITZ,11.97
"RITZ TOASTED CHIPS",11.97
CHEERIOS,11.96
"MCCORMICK GRILL MATES",11.94
"OLD EL PASO",11.17
"KING ARTHUR FLOUR",10.98
"CHICKEN OF THE SEA",10.89
"LIGHT & FIT",9.960000000000003
"SIMPLE TRUTH",9.92
WISHBONE,9.870000000000001
LINDT,9.24
"STOVE TOP",8.76
FRENCH'S,7.98
ARROWHEAD,7.98
"TAYLOR FARMS",7
"TOLL HOUSE",7
CRISPIX,6.78
ZESTA,6.58
FRANZ,5.98
SMITHFIELD,5.48
MERKT'S,5.39
PREGO,5.38
KLONDIKE,5
ARNOLD,4.99
"HONEY BUNCHES OF OATS",4.98
RAGU,4.98
"HERSHEY'S KISSES",4.68
CARAMELLO,4.66
FRONTERA,4.59
HANOVER,4.58
CHEX,4.47
HAWAIIAN,4.47
"CALIFIA FARMS",4.29
"ORAL-B GLIDE",3.99
MCCORMICK,3.99
QUAKER,3.99
"TOP FLIGHT",3.98
BUNNY,3.87
"THAT'S SMART!",3.79
"KITCHEN BASICS",3.69
"AMERICAN BEAUTY",3.67
"JELLY BELLY",3.37
"GREY POUPON",3.29
DARE,2.89
"ORGANIC ROOT STIMULATOR",2.49
GERM-X,2.29
"HEWLETT PACKARD",1.7999999999999998
"NATURE VALLEY",1.69
PLAYTEX,1.6800000000000002
ROSARITA,1.25
MORTON,1.19
DANNON,1.12
"KRAFT EASY CHEESE",1
KARO,0.6
FAGE,0.56
