item_brandCode,count_receipts
,508
"BEN AND JERRYS",20
BRAND,20
KLEENEX,17
MISSION,17
PEPSI,16
BORDEN,15
DOLE,15
FOLGERS,15
KNORR,15
BIGELOW,14
KELLOGG'S,14
KRAFT,14
"LIGHT & FIT GREEK",13
"NATURE'S PATH ORGANIC",13
"BUSH'S BEST",12
"CAL-ORGANIC FARMS",12
DORITOS,12
"EL MONTEREY",12
"GREEN GIANT",12
"HARVEST SNAPS",12
"HILLSHIRE FARM",12
"JUST BARE",12
KASHI,12
"LAURA'S LEAN BEEF",12
LIPTON,12
RICE-A-RONI,12
STARKIST,12
"CHICKEN OF THE SEA",11
"CONNIE'S PIZZA",11
"DOLE CHILLED FRUIT JUICES",11
"HATCH FARMS",11
"SO DELICIOUS",11
"SPECIAL K",11
SWANSON,11
TEMPTATIONS,11
"TIC TAC",11
TOSTITOS,11
"VAN DE KAMP'S",11
YUBAN,11
ADVIL,10
HY-VEE,10
KIKKOMAN,10
"HY-VEE SELECT",8
WONDERFUL,6
"HIDDEN VALLEY",5
CAMPBELL'S,4
CHEESE,4
"CRACKER BARREL",4
KLARBRUNN,4
"LIGHT & FIT",4
"BETTY CROCKER",3
BRASWELL'S,3
CADBURY,3
CHEETOS,3
CHEEZ-IT,3
CHEX,3
"CINNAMON TOAST CRUNCH",3
"COLEMAN NATURAL",3
"CREST 3D WHITE",3
"ENERGIZER MAX",3
"FRESH EXPRESS",3
"GENERAL MILLS",3
"HELLMANN'S/BEST FOODS",3
"HEWLETT PACKARD",3
"JACK LINK'S",3
JELL-O,3
"JIMMY DEAN",3
"KETTLE BRAND",3
"KIT KAT",3
"KRAZY GLUE",3
LINDSAY,3
LINDT,3
LITEHOUSE,3
MARIE'S,3
MARTINELLI'S,3
"MCCORMICK GRILL MATES",3
"MOUNTAIN DEW",3
NUTELLA,3
ORBIT,3
"PEPPERIDGE FARM",3
PLANTERS,3
PLAYTEX,3
PRINGLES,3
SIGNATURE,3
"SIMPLE TRUTH ORGANIC",3
TROLLI,3
VELVEETA,3
WELCH'S,3
7UP,2
ARROWHEAD,2
AZTECA,2
"BEAR CREEK COUNTRY KITCHENS",2
BUNNY,2
CHEERIOS,2
CLASSICO,2
COKE,2
"COOL WHIP",2
CRISPIX,2
DANNON,2
"DIET COKE",2
EDWARDS,2
FRANZ,2
FRENCH'S,2
HANOVER,2
HAWAIIAN,2
HEMPLER'S,2
HORMEL,2
JENNIE-O,2
"JOHN SOULES FOODS",2
JOHNSONVILLE,2
"KING ARTHUR FLOUR",2
KROGER,2
LUNCHABLES,2
"MARIE CALLENDER'S",2
NABISCO,2
NESTLE,2
"OLD EL PASO",2
OREO,2
"R.W. KNUDSEN",2
REESE'S,2
RITZ,2
"RITZ TOASTED CHIPS",2
"SPARKLING ICE",2
THOMAS',2
"TOLL HOUSE",2
"TOP FLIGHT",2
V8,2
WISHBONE,2
ZESTA,2
"AMERICAN BEAUTY",1
ARNOLD,1
"BOTA BOX",1
"CALIFIA FARMS",1
CARAMELLO,1
DARE,1
FAGE,1
"FLORIDA'S NATURAL",1
FRONTERA,1
GERM-X,1
"GREY POUPON",1
"HERITAGE FARM",1
"HERSHEY'S KISSES",1
"HONEY BUNCHES OF OATS",1
"JELLY BELLY",1
KARO,1
KERRYGOLD,1
"KITCHEN BASICS",1
KLONDIKE,1
"KRAFT EASY CHEESE",1
KRUSTEAZ,1
MCCORMICK,1
MERKT'S,1
MORTON,1
"NATURE VALLEY",1
"ORAL-B GLIDE",1
"ORGANIC ROOT STIMULATOR",1
PREGO,1
"PRIVATE SELECTION",1
QUAKER,1
RAGU,1
ROSARITA,1
SCHWEBEL'S,1
SHOPRITE,1
"SIMPLE TRUTH",1
SMITHFIELD,1
"STOVE TOP",1
"TAYLOR FARMS",1
"THAT'S SMART!",1
